proj_id,proj_title,proj_desc,proj_location,proj_latitude,proj_longitude,proj_start_date,proj_end_date,proj_estimated_budget,proj_status,dept_id,isApproved
88,"Smart Education Systems","Implementation of smart learning systems in schools.","Urban Schools",22.572646,88.363895,2025-03-01,2025-12-31,60000000,"In Progress",,
38,"Health Monitoring IoT Devices","Distribution of IoT health monitoring devices.","Health Ministry",18.52043,73.856743,2025-02-01,2025-06-30,75000000,"In Progress",,
87,"University Research Funding","Providing funding for research in universities.","Various Locations",23.259933,77.412615,2025-01-01,2025-12-31,75000000,"Planned",,
45,"Vocational Training Program","Training programs for vocational skills.","Urban & Rural Areas",23.259933,77.412615,2024-12-01,2025-06-30,30000000,"In Progress",,
17,"E-learning Access Expansion","Expanding digital learning access.","Remote Areas",10.850516,76.27108,2024-10-01,2025-02-28,60000000,"Planned",,
116,"Higher Education Digital Labs","Setting up modern labs in higher education institutions.","Chennai",13.08268,80.270718,2024-10-01,2025-10-01,75000000,"In Progress",,
108,"Public Transport Improvement Program","Improving public transport systems in cities.","Kerala",8.524139,76.936638,2024-10-01,2025-08-31,120000000,"In Progress",,
118,"Inclusive Education for Tribal Areas","Launching education outreach in tribal and remote areas.","Chhattisgarh",21.251384,81.629639,2024-08-01,2025-12-31,45000000,"In Progress",,
22,"Urban Housing Scheme","Affordable housing for urban poor.","Various Cities",22.572646,88.363895,2024-08-01,2025-06-30,75000000,"In Progress",,
34,"Police Stations Modernization","Upgrading police stations with modern amenities.","Various Locations",21.1458,79.088155,2024-08-01,2025-01-31,25000000,"In Progress",,
4,"Arms Procurement Review","Review of weapons procurement.","HQ Procurement Division",19.07609,72.877426,2024-07-01,2024-09-30,25000000,"Planned",,
90,"Road Network Expansion","Expansion of the national road network.","Nationwide",20.593684,78.96288,2024-07-01,2025-12-31,150000000,"In Progress",,
7,"Disaster Management Drill","Nationwide disaster readiness drill.","Various States",21.1458,79.088155,2024-06-01,2024-09-30,20000000,"Planned",,
35,"Anti-Terrorism Training Program","Training for counter-terrorism units.","Defense Academy",26.912434,75.787271,2024-06-01,2024-09-30,20000000,"Completed",,
93,"Smart Infrastructure Solutions","Integrating smart systems in urban infrastructure.","Smart Cities",19.07609,72.877426,2024-06-01,2025-06-30,120000000,"In Progress",,
95,"Smart City Development","Transforming cities into smart, tech-driven hubs.","Pune",18.52043,73.856743,2024-06-01,2025-12-31,200000000,"In Progress",,
100,"Solar Power Expansion","Expanding solar power generation across the state.","Bangalore",12.971599,77.594566,2024-06-01,2025-12-31,250000000,"In Progress",,
105,"National Highway Expansion","Expanding the national highway network for better connectivity.","Kerala",8.524139,76.936638,2024-06-01,2025-12-31,200000000,"In Progress",,
110,"Digital Learning Platform","Creating an online education portal for students.","Delhi",28.613939,77.209023,2024-06-01,2025-12-31,90000000,"In Progress",,
113,"Teacher Training Program","Upskilling teachers through advanced training modules.","Lucknow",26.846695,80.946167,2024-06-01,2025-06-01,40000000,"In Progress",,
21,"Smart City Infrastructure","Developing smart city projects in urban areas.","Citywide",19.07609,72.877426,2024-06-01,2024-12-31,100000000,"Planned",,
12,"Digital Health ID Initiative","Implementing digital health records.","Health Ministry",28.535517,77.391029,2024-05-15,2024-08-31,50000000,"In Progress",,
2,"Missile System Modernization","Upgrading existing missile systems.","Defense Base Alpha",26.912434,75.787271,2024-05-01,2024-12-31,80000000,"Planned",,
41,"National Literacy Campaign","Nationwide literacy campaign for adults.","Rural Areas",23.610181,85.279935,2024-05-01,2024-10-31,40000000,"In Progress",,
31,"Traffic Management System","Revamping traffic management systems.","Main City",28.70406,77.102493,2024-05-01,2024-11-30,35000000,"In Progress",,
98,"Urban Waste Management System","Implementing efficient waste collection and disposal systems.","Pune",18.52043,73.856743,2024-05-01,2025-12-31,120000000,"In Progress",,
103,"Energy Storage Solutions","Developing large-scale energy storage systems.","Statewide",12.971599,77.594566,2024-05-01,2025-12-31,150000000,"In Progress",,
30,"Cyber Warfare Simulation","Simulations for cyber warfare scenarios.","Cyber Command Center",28.613939,77.209021,2024-05-01,2024-12-31,45000000,"In Progress",,
16,"National Curriculum Review","Reviewing the national school curriculum.","Education HQ",28.459497,77.026634,2024-04-01,2024-09-30,35000000,"In Progress",,
11,"COVID-19 Booster Drive","Vaccination booster rollout.","All States",20.593684,78.96288,2024-03-01,2024-06-30,60000000,"Pending",,
32,"CCTV Surveillance Network","Establishing a nationwide CCTV surveillance network.","Urban Centers",22.572646,88.363895,2024-03-01,2025-01-01,40000000,"Planned",,
6,"Police Training Reform","Modernizing police training methods.","Training Academy",13.08268,80.270718,2024-02-01,2024-05-30,30000000,"In Progress",,
1,"Border Surveillance Upgrade","Surveillance systems upgrade on borders.","Border Region",28.613939,77.209021,2024-01-01,2024-06-30,50000000,"In Progress",,